NFL Game Stats Data in form player_team_offense_ranking,player_fantasy_avg,weather,opp_team_defense_ranking,f_points_earned 
7,9.65,91,5,9.6
7,12.33,91,5,6.300000000000001
7,7.25,91,5,5.6
7,6.369999999999999,91,5,0.8
13,19.669999999999998,83,29,22.740000000000002
13,9.16,83,29,9.8
13,20.685714285714287,83,29,18.6
13,8.81,83,29,6.7
13,2.4,83,29,5.5
13,9.33,83,29,4.8
13,8.18,83,29,2.7
13,-1.3333333333333333,83,29,0.0
13,2.29,83,29,0.0
13,0.0,83,29,0.0
13,0.010000000000000009,83,29,-0.1
32,9.46133333333333,83,9,13.0
32,5.67,83,9,6.8
32,5.556666666666667,83,9,15.7
32,2.1166666666666667,83,9,1.2999999999999998
32,3.986666666666667,83,9,6.3
32,0.5,83,9,3.0
32,1.657777777777778,83,9,2.9
32,0.27,83,9,2.4
32,4.026666666666667,83,9,1.9
32,1.9044444444444442,83,9,0.7
32,1.01,83,9,0.7
32,1.5,83,9,0.0
12,22.244,78,25,27.599999999999998
12,14.509999999999998,78,25,13.899999999999999
12,2.3600000000000003,78,25,3.1
12,5.17,78,25,5.8
12,1.64,78,25,0.4
12,7.8100000000000005,78,25,7.7
12,3.06,78,25,6.2
12,4.85,78,25,3.3
12,1.09,78,25,1.0
8,24.014,78,10,42.68000000000001
8,11.79,78,10,12.5
8,6.220000000000001,78,10,5.3999999999999995
8,11.030000000000001,78,10,6.7
8,12.3,78,10,6.4
8,6.029999999999999,78,10,5.9
8,2.34,78,10,3.0
8,1.23,78,10,1.0
8,-0.95,78,10,0.0
8,6.8100000000000005,78,10,1.5
1,25.967555555555553,80,12,38.839999999999996
1,19.726666666666667,80,12,8.0
1,8.07777777777778,80,12,13.1
1,3.0700000000000003,80,12,0.3
1,12.23,80,12,10.9
1,13.946666666666665,80,12,9.0
1,2.521111111111111,80,12,-0.30000000000000004
1,1.2366666666666668,80,12,0.3
1,0.21000000000000002,80,12,0.2
9,19.89,80,26,42.98
9,20.32,80,26,18.5
9,2.0300000000000002,80,26,1.9
9,0.4666666666666667,80,26,0.7
9,4.95,80,26,13.8
9,9.9,80,26,12.1
9,14.18,80,26,6.7
9,5.225714285714285,80,26,2.6
9,0.24,80,26,1.9
9,1.7971428571428572,80,26,1.4
14,18.70711111111111,81,1,22.799999999999997
14,9.87,81,1,7.0
14,5.006666666666666,81,1,3.6
14,10.618571428571428,81,1,11.3
14,14.294444444444444,81,1,11.0
14,5.07,81,1,4.5
14,0.99,81,1,2.1
14,2.19,81,1,1.9
14,3.41,81,1,0.0
30,3.964666666666667,81,11,8.879999999999999
30,5.97,81,11,5.92
30,0.8320000000000001,81,11,6.640000000000001
30,8.73,81,11,4.3
30,1.58,81,11,6.6
30,6.1899999999999995,81,11,5.5
30,3.18,81,11,3.2
30,1.74,81,11,1.5
30,3.7300000000000004,81,11,1.4
30,0.37,81,11,0.8
22,12.396,80,21,17.119999999999997
22,9.471111111111112,80,21,19.0
22,6.296666666666667,80,21,4.4
22,10.116,80,21,4.5
22,4.373333333333333,80,21,3.2
22,5.505111111111112,80,21,3.2
22,3.17,80,21,1.9
22,6.75,80,21,1.7
18,10.831555555555555,80,24,13.459999999999999
18,10.283333333333333,80,24,3.9
18,6.755714285714286,80,24,8.0
18,4.9557142857142855,80,24,9.2
18,15.92,80,24,8.4
18,4.257777777777777,80,24,3.0
18,5.98,80,24,0.7000000000000002
18,0.6799999999999999,80,24,2.4
18,2.69,80,24,-0.1
20,8.862,78,23,14.44
20,1.1,78,23,17.0
20,7.316666666666666,78,23,1.4
20,4.6033333333333335,78,23,8.799999999999999
20,5.511111111111111,78,23,1.0
